Track,Track,EventShort,Event,EventClass,Flags,StartDay,StartTime,StartDT,EndDay,EndTime,EndDT,Room,Guests,,,,,,,,
Future Tech,,Virtual Reality and Oculus Rift Demo,Virtual Reality and Oculus Rift Demo,Presentation,,08/08/2014,10:00,Fri 10:00,08/08/2014,11:15,Fri 11:15,11,Ian Peters,,,,,,,,
Future Tech,,"From Killer Drones, To Cuddly Robot Companions","From Killer Drones, To Cuddly Robot Companions",Presentation,,08/08/2014,11:45,Fri 11:45,08/08/2014,13:00,Fri 13:00,11,Emma Byrne,,,,,,,,
Future Tech,,Free Is A Lie,Free Is A Lie,Presentation,,08/08/2014,13:30,Fri 13:30,08/08/2014,14:45,Fri 14:45,11,Aral Balkan,,,,,,,,
Future Tech,,How To Get Your Idea Crowdfunded,How To Get Your Idea Crowdfunded,Presentation,,08/08/2014,15:15,Fri 15:15,08/08/2014,16:30,Fri 16:30,11,Kate Russell,Allen Stroud,,,,,,,
Future Tech,,Mindpong with Stephen Chan,Mindpong with Stephen Chan,Presentation,,08/08/2014,18:00,Fri 18:00,08/08/2014,18:15,Fri 18:15,11,Stephen Chan,,,,,,,,
Skepticism,,Temporal Lobes and Spiritual Experiences,Temporal Lobes and Spiritual Experiences,Presentation,,09/08/2014,10:00,Sat 10:00,09/08/2014,11:15,Sat 11:15,11,Niall McCrae,Joanne Roberts,,,,,,,
Future Tech,,EEG: Brain Hacking and Technology Demo,EEG: Brain Hacking and Technology Demo,Presentation,,09/08/2014,11:45,Sat 11:45,09/08/2014,13:00,Sat 13:00,11,Martin Dinov,,,,,,,,
Future Tech,,Drone Zone,Drone Zone: introduction to open source hardware and the maker movement,Presentation,,09/08/2014,13:30,Sat 13:30,09/08/2014,14:45,Sat 14:45,11,Anish Mohammed,,,,,,,,
Skepticism,,Magicians and Misdirection,Magicians and Misdirection: using magic for psychology research,Presentation,,09/08/2014,15:15,Sat 15:15,09/08/2014,16:30,Sat 16:30,11,Robert Teszka,,,,,,,,
Skepticism,,The Psychology of Alien Contact,The Psychology of Alien Contact,Presentation,,09/08/2014,17:00,Sat 17:00,09/08/2014,18:15,Sat 18:15,11,Chris French,,,,,,,,
Skepticism,,Interview with a Vampire Expert,Interview with a Vampire Expert,Presentation,,09/08/2014,18:45,Sat 18:45,09/08/2014,20:00,Sat 20:00,11,Deborah Hyde,,,,,,,,
Future Tech,,Neuroscience of Swearing,Neuroscience of Swearing,Presentation,,10/08/2014,10:00,Sun 10:00,10/08/2014,10:40,Sun 10:40,11,Emma Byrne,,,,,,,,
Future Tech,,Lateral Search: Alternative Search Engines,Lateral Search: Alternative Search Engines,Presentation,,10/08/2014,11:45,Sun 11:45,10/08/2014,13:00,Sun 13:00,11,J. Paul Neeley,Dan Foster-Smith,,,,,,,
Future Tech,,Gamification of Everything,Gamification of Everything: mapping human psychology to technology,Presentation,,10/08/2014,13:30,Sun 13:30,10/08/2014,14:45,Sun 14:45,11,Cormac Horan,,,,,,,,
Skepticism,,London Skeptics Roundtable,London Skeptics Roundtable,Discussion,,10/08/2014,15:15,Sun 15:15,10/08/2014,16:30,Sun 16:30,11,Deborah Hyde,,,,,,,,
Skepticism,,Psychics and Pseudoscience,Psychics and Pseudoscience,Presentation,,10/08/2014,17:00,Sun 17:00,10/08/2014,18:15,Sun 18:15,11,Michael Marshall,,,,,,,,
Skepticism,,"Autism Treatments - the good, the bad and the ugly","Autism Treatments - the good, the bad and the ugly",Presentation,,10/08/2014,18:45,Sun 18:45,10/08/2014,20:00,Sun 20:00,11,Tannice Pendegrass,,,,,,,,
"Ships, Clocks and Stars",,Photographing the Universe,Photographing the Universe,Presentation,,08/08/2014,10:00,Fri 10:00,08/08/2014,11:15,Fri 11:15,12,Marek Kukula,,,,,,,,
"Ships, Clocks and Stars",,"The Longitude Story - from projectors to punks","The Longitude Story - from projectors to punks",Presentation,,08/08/2014,11:45,Fri 11:45,08/08/2014,13:00,Fri 13:00,12,Richard Dunn,,,,,,,,
Kids,"Ships, Clocks and Stars",Build Your Own Spectroscope,Build Your Own Spectroscope,Craft,,08/08/2014,13:30,Fri 13:30,08/08/2014,14:45,Fri 14:45,12,Brendan Owens,,,,,,,,
"Ships, Clocks and Stars",,Do Black Holes Really Exist?,Do Black Holes Really Exist?,Presentation,,08/08/2014,15:15,Fri 15:15,08/08/2014,16:30,Fri 16:30,12,Marek Kukula,,,,,,,,
"Ships, Clocks and Stars",,Steampunk Telescopes,Steampunk Telescopes,Presentation,,08/08/2014,18:45,Fri 18:45,08/08/2014,20:00,Fri 20:00,12,Tom Kerss,,,,,,,,
"Ships, Clocks and Stars",,Travellers of the Fourth Dimension,Travellers of the Fourth Dimension: the secrets of time travel,Presentation,,08/08/2014,17:00,Fri 17:00,08/08/2014,18:15,Fri 18:15,12,Brendan Owens,,,,,,,,
Steampunk,,So you want to write Steampunk,So you want to write Steampunk,Panel,,09/08/2014,10:00,Sat 10:00,09/08/2014,11:15,Sat 11:15,12,Liesel Schwarz,Karl Burnett,John Naylor,Andrea Burnett,,,,,
Steampunk,,Not Just Books,Not Just Books,Panel,,09/08/2014,11:45,Sat 11:45,09/08/2014,13:00,Sat 13:00,12,Yomi Ayeni,Gary Nichols,Lady Elsie,Malika Andress,,,,,
Kids,Steampunk,Punk your Nerf,Punk your Nerf,Craft,,09/08/2014,13:30,Sat 13:30,09/08/2014,14:45,Sat 14:45,12,Vincent Swann,,,,,,,,
Steampunk,,Multiculturalism and a Global Perspective on Steampunk,Multiculturalism and a Global Perspective on Steampunk,Panel,,09/08/2014,15:15,Sat 15:15,09/08/2014,16:30,Sat 16:30,12,Yomi Ayeni,Malika Andress,John Naylor,Andrea Burnett,,,,,
Steampunk,,Gin Appreciation,Gin Appreciation,Entertainment,"Ticketed, 18+",09/08/2014,18:45,Sat 18:45,09/08/2014,20:00,Sat 20:00,12,Lady Elsie,Lady M,,,,,,,
Steampunk,,Steampunk Cabaret,Steampunk Cabaret: a steamy evening of entertainment,Entertainment,,09/08/2014,20:30,Sat 20:30,09/08/2014,23:30,Sat 23:30,12,Dr Corvas Marconi,The Cogkneys,Lady M,Count Rostov,Thadeus Tinker,,,,
Steampunk,,Here's One I Made Earlier,Here's One I Made Earlier: steampunk makers share their hints and tips,Panel,,10/08/2014,10:00,Sun 10:00,10/08/2014,11:15,Sun 11:15,12,Herr Doktor,Mark Simpson,Andrea Burnett,,,,,,
Steampunk,,Female characters in Steampunk,Female characters in Steampunk: strong women in Steampunk get an audience,Panel,,10/08/2014,11:45,Sun 11:45,10/08/2014,13:00,Sun 13:00,12,Gail Carriger,Liesel Schwarz,Toby Frost,Count Rostov,,,,,
Steampunk,,Corsets in an Hour,Corsets in an Hour,Presentation,,10/08/2014,13:30,Sun 13:30,10/08/2014,14:45,Sun 14:45,12,Trevor Wilson,,,,,,,,
Steampunk,,The science of Afternoon Tea,The science of Afternoon Tea: how does chemistry help us to make scones?,Presentation,,10/08/2014,15:15,Sun 15:15,10/08/2014,16:30,Sun 16:30,12,Malika Andress,,,,,,,,
Steampunk,,Steampunk Fashion,Steampunk Fashion,Presentation,,10/08/2014,17:00,Sun 17:00,10/08/2014,18:15,Sun 18:15,12,Lady Elsie,Thadeus Tinker,,,,,,,
All of the Books,,MONSTERCLASS: Nonlinear Narratives,MONSTERCLASS: Nonlinear Narratives,Presentation,,08/08/2014,11:45,Fri 11:45,08/08/2014,13:00,Fri 13:00,30,Robert Sharp,,,,,,,,
