"Rock Club London", "Rock out with Rock Band karaoke."
"The Mechanisms", "Steampunk pirate sci-fi musical cabaret fairy tales."
"The Nine Worlds Party", "Our theme is Flash Gordon -vs- the Highlander, featuring Rhapsody, the UK’s top Queen tribute band."
"Quantum Battlestar Deep-Space Voyager Tardis Wars: The Million Dollar Space Epic", "Join the crew of the Starship Nebula for a light-speed adventure beyond the final frontiers of scientific integrity, plot plausibility and character continuity! Yep, we’re firing up the awesomeness drive and calibrating the absurdity compensators to whisk you away on an exhilarating trip through some of science fiction’s silliest bits. With more time paradoxes, alien encounters and plot holes than the latest JJ Abrams blockbuster, this is the biggest reboot since Windows 95. Oh, and geeks get priority seating. Of course."
"Robot Woman of Tomorrow", "With science comedian Helen Keen."
"Build Your Own Spectroscope", "Spectroscopes are vital in studying astronomical phenomena. In this interactive workshop, we’ll build our own spectroscopes, play with discharge tubes, and learn about how astronomers can study the composition of distant astronomical bodies."
"pyjamadramapresentscallingplanetearth", "It’s time to find a new home for your family, but when the nearest planet is a trillion miles away and covered in litter, what do you do? A session for 6-10 year olds to use their dramatic skills to explore a story."
"pyjamadramapresentsthegruffaloatthedentist", "It’s hard being scary when you’ve got a poorly pain and the Gruffalo knows all about that – he’s woken up with the most terrible toothache! Will he ever be scary again? A creative play session for 2-5 year olds who want to get “in” to their favourite stories."
"Basic Wounds Workshop One – Bruises and Superficial Cuts (PG: fake blood), with Cosplay Beyond", "After a short demo explaining the theory, everyone can have a go, with advice along the way on bringing realism to your work."
"pyjamadramapresentsdalekdisaster", "The Doctor has finally managed to bring peace to the universe, but those dastardly Daleks are up to their old tricks again! Can you help The Doctor save the day? A creative play session for 2-5 year olds who want to bring their favourites to life."
"introductiontoickinessbasicwoundsworkshoptwoburnsandbruises", "After a short demo explaining the theory, everyone can have a go, with advice along the way on bringing realism to your work."
"Writing Workshop with Quen Took for ages 8 to 11 ", "Small-group creative writing workshops in which people aged 8-11 can experiment with storytelling. We’ll begin by writing a short story as a group, with each person adding to the story as we go along. Participants will then be encouraged to work either in groups or individually to write their own flash fiction, with support from the group leader and small prizes for the best work. "
"Super Speedy Yarn Crafts, with Knitting", "Projects using needles, hooks, yarn and an hour. Finish a selection of projects within this hour long session and take your completed project home with you. Projects range from pom poms to granny squares to baby squid monsters. This session is kid-friendly and some of the projects can be easily picked up by non-crafters."
"Punk your Nerf, with Steampunk", "Nerf Guns are a great steampunk accessory. This session will give you some hints and tips on how to take a toy, and with a few easy steps, turn it into a Steampunk weapon and accessory. There will be time to show you how to run a Steampunk Shoot out and join in a Steamwestern Shoot out."
"Making Comics: workshop for kids (and their adults), with Comics track", "Turning concepts into scripts into pages into pantheons -- bring your characters, your ideas, your total lack of experience and/or buckets of # enthusiasm, we’ll supply pens, paper and helping hands."
"pyjamadramapresentsthedoctorslodge", "The Doctor has come across many places in his lifetimes, but this strange, empty house can’t be what it seems... Will your Sonic Screwdriver be the final piece of the puzzle? A session for 6-10 year olds to use their dramatic skills to explore a story."
"pyjamadramapresentsthepreschooltriwizardtournament", "It’s the final of the Triwizard tournament for preschoolers – who knows what’s around the next corner! Who will be crowned the winner? A creative play session for 2-5 year olds with bursting imaginations."
"Battle Rapping Monsters, with Creative Writing", "Create your own monster and send them to rap battle against others! A writing and performance workshop, suitable for 11+."
"Fanfic for Kids: what happens next? Making up your own stories", "A reprise of last year’s successful discussion and workshop centred on fanfiction for preteens. What happens next? (Futurefic.) What if a character from this film met a character from that book? (Crossovers.) What would this hero be doing if they’d been born in the contemporary, mundane world? (AUs.) Many pre-teens also want to read fanfiction: we’ll discuss the best and safest sites for them to visit."
